Fase,Atividade,Descrição,Duração,Responsável,Data Início,Data Fim,Status,Progresso %,Observações,Comentários
FASE 1 - LEVANTAMENTO DE REQUISITOS,,,,,,,,,,
Fase 1,Reunião 1: Análise de formulários e regulamentos,Análise de formulários de inscrição e regulamentos internos - Participantes: Secretariado Avaliadores Conselho,4h,Equipe + Secretariado,Dia 1,Dia 1,✅ Concluído,100%,Ata assinada,
Fase 1,Reunião 2: Análise de taxas e processos,Análise de taxas e processos administrativos - Participantes: Tesouraria Financeiro Administração,3h,Equipe + Tesouraria,Dia 2,Dia 2,⏳ Pendente,0%,Pendente,
Fase 1,Reunião 3: Análise de dados e integrações,Análise de dados históricos e integrações - Participantes: TI Operações Parceiros Externos,3h,Equipe + TI,Dia 3,Dia 3,⏳ Pendente,0%,Pendente,
Fase 1,Elaboração do DRS,Documento de Requisitos Específicos (DRS) - Mínimo 20 páginas com anexos,2 dias,Arquiteto + Analista,Dia 3,Dia 4,✅ Concluído,100%,20+ páginas,
Fase 1,Validação pelo auditor externo,Validação e aprovação do DRS pelo auditor externo,1 dia,Auditor,Dia 5,Dia 5,✅ Concluído,100%,Aprovado,
FASE 2 - AJUSTES DO PROTÓTIPO,,,,,,,,,,
Fase 2,Análise e planejamento dos ajustes,Revisão do protótipo atual vs requisitos do DRS - Identificação de gaps,1 dia,Arquiteto,Dia 6,Dia 6,✅ Concluído,100%,Concluído,
Fase 2,Implementação dos ajustes UI,Ajustes na interface de usuário (Bootstrap 5),2 dias,Desenvolvedores,Dia 7,Dia 8,✅ Concluído,100%,Concluído,
Fase 2,Personalização de formulários,Personalização de formulários por tipo de inscrição,1 dia,Desenvolvedores,Dia 9,Dia 9,✅ Concluído,100%,Concluído,
Fase 2,Validação e testes,Testes de funcionalidade com stakeholders - Validação de usabilidade,1 dia,Equipe + Stakeholders,Dia 10,Dia 10,⏳ Pendente,0%,Pendente - Submissão em andamento,
FASE 3 - DESENVOLVIMENTO E INTEGRAÇÃO,,,,,,,,,,
Semana 3 - Módulos Core,,,,,,,,,,
Fase 3,Módulo ADM (Administração),Módulo Administrativo - Upload de documentos com validação - Checklist documental - Sistema de pareceres,2 dias,Desenvolvedores,Dia 11,Dia 12,✅ Concluído,100%,Concluído,
Fase 3,Módulo INS (Inscrições),Módulo de Gestão de Inscrição - Formulários eletrônicos - Workflow de aprovação - Geração de número de processo único,2 dias,Desenvolvedores,Dia 13,Dia 14,✅ Concluído,100%,Concluído,
Fase 3,Testes unitários - Semana 3,Testes unitários para módulos ADM e INS,1 dia,Analista QA,Dia 15,Dia 15,⏳ Pendente,0%,Pendente,
Semana 4 - Módulos de Gestão,,,,,,,,,,
Fase 3,Módulo DOC (Documentos),Módulo de Submissão e Validação de Documentos - Upload de documentos - Validação automática - Checklist documental por tipo,2 dias,Desenvolvedores,Dia 16,Dia 17,✅ Concluído,100%,Concluído,
Fase 3,Módulo MEM (Membros),Módulo de Gestão de Membros - Registro completo de membros - Estados e filtros avançados - Geração de cartão digital,2 dias,Desenvolvedores,Dia 18,Dia 19,✅ Concluído,100%,Concluído,
Fase 3,Testes unitários - Semana 4,Testes unitários para módulos DOC e MEM,1 dia,Analista QA,Dia 20,Dia 20,⏳ Pendente,0%,Pendente,
Semana 5 - Módulos de Suporte,,,,,,,,,,
Fase 3,Módulo EXA (Exames),Módulo de Exames e Avaliações - Candidaturas e agendamento - Registro de resultados - Listas de admitidos/excluídos,2 dias,Desenvolvedores,Dia 21,Dia 22,⏳ Pendente,0%,Pendente,
